"Community_Area","Latitude","Longitude"
44,41.7402057565,-87.6159695226
14,41.968069,-87.7215590627
25,41.8906088526,-87.7560467111
24,41.9012069941,-87.6763559892
22,41.9227606205,-87.6991553432
16,41.9535821253,-87.7234523905
31,41.8502663663,-87.667569312
32,41.8788655841,-87.6251921424
53,41.6738199043,-87.6357397768
43,41.7615779081,-87.5727819867
28,41.874005383,-87.6635175498
42,41.7788768603,-87.5949254391
8,41.899602111,-87.6333080367
2,42.001571027,-87.6950125892
3,41.96581197,-87.6558787862
7,41.9226862843,-87.6494887289
39,41.8089162826,-87.5961833442
50,41.7061257523,-87.5982558383
67,41.7759288274,-87.6665962653
17,41.9465114202,-87.8060200025
18,41.9292973683,-87.7980321814
5,41.9477915865,-87.6838349425
6,41.9442266014,-87.6559981815
56,41.7925923603,-87.7696154528
4,41.9751709433,-87.6875155152
66,41.7718485152,-87.695666342
19,41.9272609555,-87.7655016086
33,41.8571838585,-87.6203346241
1,42.0096228806,-87.6701668569
15,41.9540276487,-87.7633990316
49,41.7065878819,-87.6233665115
48,41.7296764229,-87.5727171342
34,41.8420761168,-87.6339734222
29,41.8601900192,-87.7172201
58,41.8173662079,-87.6988607973
61,41.8090182499,-87.6591665992
10,41.9850151008,-87.8045320063
26,41.8785943576,-87.7302324284
69,41.7632467988,-87.6161341112
11,41.9788295262,-87.771166703
73,41.7174930361,-87.6488950721
46,41.7412427285,-87.551428197
63,41.795430631,-87.6964352325
21,41.9386661962,-87.7112105933
27,41.8789144956,-87.7058971305
77,41.9867117999,-87.6634164054
71,41.7442051463,-87.6563059862
68,41.7771962546,-87.6424975271
30,41.8390869059,-87.714003807
38,41.8129489392,-87.6178596758
23,41.9000696026,-87.7209182385
65,41.7697780588,-87.7269298425
9,42.0076125931,-87.8137810343
12,41.9939301285,-87.7583535876
62,41.7929819032,-87.7242081939
41,41.794090253,-87.592310855
55,41.6636706517,-87.5409355129
13,41.9836363072,-87.7235831853
70,41.7457577128,-87.7083657043
75,41.6897299145,-87.6690544032
60,41.8361501547,-87.6487879519
40,41.7923572233,-87.6179313803
76,41.9802643146,-87.913624596
45,41.7441995348,-87.5863483178
36,41.8237128095,-87.6023504372
59,41.8299223039,-87.6725026464
35,41.8351179863,-87.6186777673
37,41.8090844303,-87.6324245245
57,41.8108790078,-87.7263633246
64,41.7795828877,-87.768510849
20,41.9243470769,-87.7347397536
72,41.713148612,-87.6750753124
74,41.6948789661,-87.7131924966
51,41.6906333472,-87.5700582686
52,41.707311449,-87.5349029012
54,41.6601360507,-87.60284764
47,41.728182061,-87.5964755956
